H,r1,r2,K,SC,SS,CH
0.00017235865746858267,0.7339393660792994,0.9758248684314995,2.193777867870186,-1.2534284737403156,2.7471876718095145,0
0.0003962877787948582,0.23189477192639488,0.49577132439513744,2.9780869171150433,-0.44315943644925987,2.6484387037723494,0
0.0005971832838301833,0.29046282196829254,0.8733902688545023,3.1995533933767426,0.18958762138624033,2.4248712130791152,0
0.0004498492444450026,0.8875142773776463,1.3979913850505754,2.991719712277757,1.250454133637571,2.1374182187135937,0
0.0008874343632970708,0.5388887118100715,0.9980794506484191,3.15992605743391,1.1238062259182258,2.2597671229551968,0
0.0005111457218172884,0.27844550313321753,0.5250039499258605,3.038178047403161,1.0368425861508057,2.4254404508317875,0
0.0005493381598513864,0.2648458572697638,0.5085376432968938,2.862345581853201,0.984164381337366,2.4383143866393375,0
0.000459876931319632,0.2833921998942885,0.4628254196028045,2.9546883356077323,0.9787127072931313,2.4035126032450145,0
0.0007143435751009646,0.5812249865906537,1.010073302686576,2.5697233579446945,1.1085145001287333,2.1913583094013944,0
0.0005546490712925155,0.33061919224852665,0.6552611022031357,2.9917882498124677,1.0749511435838162,2.3895916728854716,0
0.00042098495910961037,0.32303102486629226,0.6581530520260818,3.281530913705684,1.116618767798857,2.432410334600601,0
0.0005552728180903202,0.2573767604374627,0.5025097683315126,3.1685579407003415,0.9643159594713991,2.516345756678002,0
0.00031584498496664017,0.4356748310128321,0.5331404795197424,2.923228203146985,0.8235560645818376,2.5203517499896564,0
0.0004108319284850023,0.37810076029769546,0.5662981879407447,2.5786131255763065,0.7732707869849749,2.489616996897201,0
0.000517497850679845,0.24958457183822783,0.4838599110185354,3.009606208817177,0.8682405788504473,2.505870052716732,0
0.0005213179926027319,0.20822749828717665,0.5110076717741227,3.1508163230226316,0.3567201785928272,2.5738482043948316,0
0.0003497653463335587,0.18369595833551414,0.46434939876030473,3.697163805859086,0.487126941691753,2.5764086172595455,0
0.00037768832241146156,0.30612293624396575,0.6956977558866078,3.2035902192398593,0.9729198295998696,2.4851388049315717,0
0.0005763162348223546,0.19911468782056096,0.44299051377856424,2.8650224930872175,0.9185187798274858,2.511319868041996,0
0.00036175575182380634,0.2932393838378713,0.5174983882703179,3.384275699755098,0.9925626184829871,2.5011307795658055,0
